uniqueId,clean_text,rep_score
zaalll12,"anggota dpr nya enggak lihat kalo begini apa, tapi matanya mereka sudah ketutup duit, yang kelihatan duit terus",0.108
r.sandii,kalau tidak ada kebijaksanaan dengan seadil-adilnya untuk rakyat pasti bakal ricuh terus menerus bahkan makin parah,0.092
immaniarr,kenapa dpr bahkan presiden seolah cuek dan enggak mau tau masalah rakyat kenapa kalian abaikan jeritan rakyat mu pak,0.105
restanti79,"memang prabowo enggak tahu ya kalo lagi ada kerusuhan, kok enggak ada statemen apa-apa",0.154
ryarpus,bangun pemudi pemuda gelorakan semangatmu masa yang akan datang kewajibanmulah,0.108
fitrirahym,ya allah kenapa aparat seolah olah lawan rakyat semoha allah senantiasa melindungi anak anak bangsa,0.152
yulikristyanto,malah lawan polisi lah dpr nya kemana ya astaga,0.195
subaedi.oke,"semoga yang demo dilindungi allah amin , terus berjuang",0.137
siregarsiregarlee,salam dari jauh indonesia ku demo tapi jangan sampai membahayakan dan merussk harta benda,0.168
strangers_888,"buat man teman bantu up ya, biar keadilan di tegakan kesian rekan ojol kita sudah gugur",0.164
desi73306,hebat kalian yang demo. salut polisi itu kok mau²nya jadi budak dpr ya. supaya anggarannya di apbn diseujui lebih besar ya?,0.192
ratatouillefrem,"buat kalian semua yang ikut demo, kalian keren semua, lindungi mereka ya allah",0.193
mukenaanakdandewasa,"kenapa media selalu membuat narasi yang menyudutkan para kawan aksi.? padahal disisi lain korban yang berjatuhan ketika aksi dari dulu dari pihak masyarakat bukan aparat, tapi kenapa seolah olah tetap para aksi yang disalahkan mereka seperti itu karena kondisi politik yang tidak stabil, ekonomi yang terus mengalami penurunan bahkan di tahun 2025 ini daya beli masyarakat menurun atau lebih parahnya deflasi, disisi lain phk masal dimana mana masyarakat diperas lewat pajak di tengah ekonomi yang tidak stabil. tapi kenapa disaat kondisi seperti ini mereka para pejabat malah asik dengan menaikan gajih, tidak ada transparansi berapa nominal pendapatan mereka perbulan. ini hajat hidup orang banyak yang tertekan berikan undang udang yang pro rakyat, sah kan undang udang perampasan aset",0.098
enie904,moga yang demo diberikan kesuksesan,0.151
ceo.muda_pensiun,semua ini gara-gara oknum pejabat dan oknum anggota dpr,0.162
patmansyah666,hati-hati saudaraku semua,0.347
gharenk666,god bles untuk para pendemo,0.189
kosongkhan,"aparat selalu membentengi para pejabat kalo ada demo, kenapa tidak berpihak ke rakyat",0.123
etoyyyy_555,presiden kok enggak muncul sih? iya walaupun ada yang bilang bukan salah presiden. lah ini kan rakyat nya dia juga yang menjanji kan sejahtera dia juga pas kampanye yang bikin orang percaya dia juga orang no 1,0.114
dinnyzea,"yang demo hari ini tolong hati hati, pulang dengan selamat",0.226
cahkepenak276,aku doakan yang demo semoga selamat dalam lindungan sang maha pencipta,0.190
binks1426,mana yang siap menampung aspirasi rakyat ???,0.140
yf9058,"kalo dpr faham ,pasti cepat berbenah kebijakan lebih benar",0.138
jajangrusmana76,"dpr yang bikin ulah polisi yang jadi sasaran sudah enggak itu gaji enggak naik asn tni polri,..kasihan juga cuman anak bawang yang di lapangan itu",0.124
ochaaa441,masih pembukaan.... enggak ada satupun perwakilan parlemen yang keluar dengan alasan takut di masa.,0.126
zaenalhasani,presiden dengan dpr semua pada tutup mata ya,0.181
abdoelofficial,"semangat teman"" biar mereka tahu rakyat sudah capek di peras teris",0.147
aninala757,dpr dan pemerintah bagaimana ya hatinya macam begini ya allah mereka masih tutup mata dan telinga enggak punya rasa empati nya,0.173
senggolbacok943,"kali ini masyarakat indonesia mendukung pendemo, kecuali puan dan kawan-kawan se habitatnya.",0.165
..alfaros,lihat lah wahai yang katanya wakil rakyat seperti inikah yang kalian ingin kan di negeri tercinta ini,0.094
ptrisvteri,tetap stay safe ya bro bro kita,0.209
den_bagoes456,kalo sudah bentrok yang jadi korban aparat sama masyarakat... anggota dewan'a maah cuma menonton... lumayan katanya buat hiburan...,0.135
jeroarsyni370,"dpr...dalam kandang terus, aspirasi rakyat di anggap enteng",0.139
moslem588,kemana pempimpin indonesia pak prabowo ini rakyatmu bukan musuhmu coba di tengok apakah indonesia begini terus apakah seoran pemimpin cuma tutup mata dan telinga. sedih saya melihat nya,0.166
petir37922,masyarakat musuhnya puisi pejabatnya pada ketawa,0.143
safryadi_14,hm,0.110
dhika391,semoga mereka diberikam kekuatan dan keselamatan....,0.123
parpar.parcuu,"prisiden nya tidur,,,omon omon",0.307
hepime17,iki paling polisine asline ya podo muak karo dpr tapi sarehne tugase mengamankan enggak ada pilihan lain sakno,0.088
pratitis82,jangan sampai main senjata api main tembak senjata kalian beli hasil dari keringat rakyat kecil jangan main senjata lindungi gayomi dengan tlus jangan sampai main kasar,0.186
robertojp2,cek vt saya,0.267
ken.arok823,bravo masa pndemo,0.333
uknwonman,adik pakai helem,0.282
miafirda0,pak presiden bagaimana rakyatnya sampai begitu,0.148
ade.siti.rustini,ya allah lindungilah polisi yang lagi tugas amin,0.166
bangbeng831,percuma demo besar-besaran kalo enggak ada keputusan,0.134
uty8767,ya alloh sapek kapan bpk presiden hentikan buk puan tolonglah ngambil kebijakan sampaek kapan indinesia kaya begini terus,0.148
alzzsukainfinix,gua curiga yang disana anak stm yang biasanya tawuran,0.190
alirayyan39,ini sudah makar di mana2 tangkap dalang nya,0.174
heri99996,rakyat dan aparat sudah separah ini.kenapa presiden kok tenang saja.apa enggak kasihan sama rakyatnya.,0.118
prtmmcil,"pls baca guys dan up guys!!!! guys, tadi gue lihat salah satu komen yang sangat masuk akal. dimana kita jangan lagi demo di depan gedung dpr mpr, melainkan demo di bandara internasional, atau pusat2 ekonomi internasional. yang mana jika ada demo di tempat tersebut, logistik dan perjalanan internasional otomatis akan terganggu, alhasil banyak pihak luar yang mendorong untuk pemerintah kita bekerja cepat untuk mendamaikan demo dan menyetujui perihal2 yang di bawa di demo tersebut. mungkin ini menjadi inovasi baru untuk memaksa pemerintah segera lakukan apa yang masyarakat tuntut",0.417
kzxcv661,"(bantu sebarin) demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?jwjjehe",0.413
sweety_chubby,"kalian pejuang keadilan,doa buat kalian yang bisa turun ke jalan,semoga allah melindungi kalian,selamat hingga akhir perjuangan,,,",0.164
arien.girindra.sa,lagi sibuk kash pnghargaan sampai kacau kayak begini,0.158
bullan125,"buat kalian yang demo, tetap hati"" hati hati ya",0.279
linda14819,"ya allah lindungilah saudara"" kami di sana",0.243
arjunaja225,mereka di adu domba sama polisi diantara mereka ada perusuh yang dibayar dan siap naik pangkat... pejabat2 nontonin sambil ngopi,0.133
wanacowo,"trimakasih pendemo, maaf saya enggak bisa ikut surabaya hadir",0.189
freddy_gtg01,"para ketua partai, gua mau tanya, kalian punya hati nurani??",0.120
karkukator00l,semoga habis ini pelaku di balik layar ketangkap..,0.205
hendisuhendi805,semuanya ini karena jurang kehidupan semakin lebar antara yang kayak dengan yang miskin.,0.111
muh.daeng.saleh,pokoknya habis ini siap siap negara tambah hutang lagi untuk membangun kembali gedung dpr fasilitas baru kendaraan baru.... siapa yang rugi.... pikir sendiri,0.137
zee11961,"lagi chaos begini, peran presiden penting banget buat nenangin massa. mana presiden kita?",0.155
menjadiorangbaik03,musuh nya dpr woy,0.147
muhkahrimsebatikkahrim,ada lagi kak pemerintah kalau seperti ini,0.131
fa.chen_18,"wahay pemipin negeri ini lihat lah mereka yang meminta haknya apa anda pura"" enggak bisa lihat.?",0.136
nendrasunarli,di mana lagi ini terjadi,0.163
atyat29,"anggota dewan duduk manis makan enak tidur nyenyak,, mahasiswa dan polisi jadi korban...",0.160
shoeltanshapoetra,semoga yang demo sehat selalu selamat sampai rumah kalian,0.249
efa.arnaz0,"enggak mungkin kalau mahasiswa akan demo se anarkis ini. ,siapa orang-orang ini yang menyusun ke demo",0.100
hjsusiw,"bismillah semagat,ya allah lindungilah para pejuang,,trmksh ,,",0.229
user5088297921522,sekutu mulyono dan 9 naga senang nih nontonye polisi dan rakyat di adu domba,0.182
hhh222444,"mau jadi apa negara ini, polisi diadu domba sama rakyat, bagaimana niiiih negara",0.248
sontoloyo1800,hanya di era prabroro,0.124
kiroroninetynine,demo mahu kerja tidak.. terbaik indonesia,0.213
hadehhh39o,gue mau pindahan tempat tinggal malah demo dimana mana anjir lah,0.129
gooyuui,"saat-saat genting sepeti ini, mohon/tolong untuk warga-warga/demostran disekitar fasilitas umum, gedung, dan toko-toko lebih waspada. karena profokator rakyat ada dimana-mana. mari bijak dalam bertindak. mari menjaga dengan tidak terhanyut merusak fasilitas umum. semua itu dibangun dengan pajak yang kita bayarkan. mari saling menjaga dan berwaspada. terimakasih.",0.151
ppcrgenerasimuda,ini yang saya suka sekarang pemerintah tidak ada harganya,0.157
rizal.alamsyah47,"sebenci ini kah rakyat kita,harusnya ini jadi intropeksi untuk aparat kepolisian dan dewan perwakilan rakyat",0.125
izzy_ajaaa,alfatihah buat ojol,0.231
ide483,demo bayaran yang anarkis begini.,0.178
hogairusama,yang demo lo keren semua sumpah,0.138
yono.sander,semoga para pendemo dalam lindungan allah swt amin,0.244
apieepp,pengepungan bukit duri,0.301
hrmnsyah21,yang ikut demo terimakasih abangku .. sehat selalu semua nya,0.193
kriwilkriwil74,gara-gara saroni,0.294
jblwers,"harusnya dpr angkat bicara atau datang berdiskusi, kasihan masyarakat dan aparat bentrok mulu jadinya. yang jatuh korban keduanya.",0.107
felixalexis92,terima kasih banyak para pedemo,0.157
aa.herman30,lihat lah rakyatmu pak prabowo ini yang di katakan sejahtra hancur sudah negeri ini,0.140
zuhri845,"ke kantor dpr oy jangan di situ , fasilitas kita yang kena jadinya",0.139
amzaidii,salam tak boleh negara islam macam ini.ada yang dalang di sebalik ini.dan cara ini tak menguntungkan sesiapa.tenang tenangkan boleh kembali terbaik untuk semua nya amiin 7x,0.090
chachopin08,"satu hari nanti, akan ada anak-anak muda mahasiswa ini bakal menjadi ahli dpr..dan buat seketika mereka punya semangat...sebelum luntur..dan di ganti oleh demonstrator seterusnya...",0.136
c12.c12t,aku doakan yang demo selamat dunia dan akhirat ...amin,0.190
rixzalllekzz8,demo serasa tauran anjing,0.276
ela.elvio,i love you kakak kakak yang demo dan semoga tidak terluka amin,0.123
yudho886,"tidak tayang di tv,giliran acara dangdut dan debat ijazah berjam2 tayang nya",0.192
nacsyii,iya:reformasi reformasi reformasi,0.390
ameera_hafizah1105,yakin enggak ada yang turun gunung begitu??? setidaknya ada kiriman2 paket tanpa kurir,0.117
iisbundanyaristi,ya allah lindungi mereka yang sedang berjuang untuk rakyat,0.301
matchaluverrr_0,panjang umur dan sehat² para pendemo,0.234
lanna.sari92,ya allah lindungilah anak anakmkami yang berdemo,0.293
user7332052930411,bersatu boleh rakyat jelata yang merasa di zolimi oleh penguasa,0.114
esnge_eza,sih uya dan eko sahroni lihat ini enggak ya,0.151
ipunk_zeazio,pejabat cuma ketawa lepas lihat ini.. mereka merasa tidak tersentuh!,0.128
afnaldi1,"masya allah....ya allah, mohon di selamatkan bangsa kami ini...",0.162
andicilacap6,"tuntutan rakyat sedng dikoreksi sedng dilakukan pembenahan,, sudah saatnya demo berhenti,, beri kesempatan pada mereka penanggung jawab di pemerintahan, dan ciptakan rasa aman supaya ekonomi pulih kembali,,jangan mau di hasut menjadi perusuh anarkisme,, aman dari rakyat kembali ke rakyat dan untuk rakyat",0.166
oppungalicia1234_,kenpa harus rusu bukan nya demo menyampaikan pendapat mohon untu semua menahan diri tuhan selamatkan negeri ini bapak ku yang disorga,0.108
pisces021_,mana presiden prabowo yang suaranya koar-koar di kampanye pilpres,0.163
alam4902,saya doakan semoga rakyat menang selamat...,0.207
masrrrrrrrrr_0,"keiinget demo 2019 dulu di slipi jaya sama pejompongan kisruh ya lebih parah dari ini , dulu sampai ambulan dari gerinda nyuplai batu sama petasan sekarang malah presidennya diam diam bae enggak ada tanggapan",0.130
tubagusbadawi,yang diadu domba masyarakat dan aparat sedangkan pejabat? bagaimana ini bisa terjadi carilah solusi terbaik wahai para petinggi negara,0.125
celica244,": buat temen² yang baru mau turun demo tetap safety ya guys utamakan keselamatan!!., di stasiun sudirman+gbk banyak banget intel berkedok pelajar., gojek dl., karena banyak yang ketangkep+di pukuli. info nye buat smk/sama/sampai yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau pelajar. kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar. sudah banyak banget pelajar yang ketangkep di polres gara"" sih curigain + memakai seragam saat demo. angin nye sudah chaos banget sekarang., sekedar saran - tutup identitas termasuk wajah sama sidik jari - kalau bawa kendaraan pribadi usahain jauh dari lingkungan demo semangat bro!!",0.411
bisacod66,"demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?(tidak merusak fasilitas umum)",0.417
bangber90,terima kasih sudah turun demo hari kalian tetap keren dimata gue... semangat buat kakak mahasiwa buruh anak stm dan sama,0.162
jalut73,zaman jokowi ada kes seperti ini?kenpa zmn probowo ?salam dari malaysia.,0.207
zynn_762,"sorry abang,mas,kak,dl,gue cuman bisa mengetik doang disini,kalian semua keren rela capek lari larian buat menegakkan keadilan,sekali lagi meminta maaf soalnya enggak bisa ikut demo",0.136
dewa_syah_,terimakasih rakyat dan mahasiswa yang sudah turun demo yang sudah mewakili respect,0.151
ucupp247,"hati' bro gue mau mengingatkan kalo mau demo dpr jangan pakai seragam sekolah,buat para' pelajar soalnya intel dimana' buat ngintai para' pelajar, soalnya di sekolahan gue sudah banyak yang kena tangkap,dan sekolah di daerah serang-banten juga banyak yang ketangkep,hati' bro gue mau mengingatkan kalo mau demo dpr jangan pakai seragam sekolah,buat para' pelajar soalnya intel dimana' buat ngintai para' pelajar, soalnya di sekolahan gue sudah banyak yang kena tangkap,dan sekolah di daerah serang-banten juga banyak yang ketangkep para' pelajar tolong jaga',kita sama' pelajar untuk berjaga jaga",0.408
bimaputra160,"ini sama saja tawuran tapi berlindung dibalik kata ""demo""",0.105
frdtljnnh,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!! jangan rusak fasilitas fasilitas rakyat, toko, mal, stasiun jangan dirusuh, ingat, kita kerja cari uang disana.",0.417
knp.baca.komen.gua,baru kali ini senang lihat orang demo,0.229
bukanmanusia672,ini baru demo,0.406
eva.hasan00,semoga selamat bang saya doakan,0.207
reskidayak,enggak ada istilah frovokasi itu murni dari hati nurani,0.115
.maya_jouga,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi",0.417
isnatun.saja,allahu akbar..lindungilah mereka semua yang lagi demo ya allah...hati-hati kalian semua..,0.205
nabillaah8,yang turun demo kalian cinta indonesia,0.142
user8792465454408,semogah parah pendemo di beri keselamatan serta di lindungi yang maha kuasa.,0.168
brotim1998,"hati buat yang demo, trimakasih",0.160
daniellway7,alihkan demo di tempat strategis seperti bandara pelabuhan dan lain lain agar ekonomi lumpuh dan suara kita bisa di dengar ‼‼‼,0.408
userfckfr,"kak. boleh enggak nitip sesuatu, nanti pas demo tolong infokan kalo kena gais air mata cuci muka pakai air yang dicampur garem non yodium atau susu atau air mengalir. jangan pakai odol nanti tambah iritasi mata mereka. sama kalo keisep pakai kain basah tutup mulutnya. soalnya lihat teman teman yang demo pada sesek. yang perempuan mau bantu share info ini biar pada save. semangat yang demo.",0.410
cusxxz,stay safe ya teman teman yang ikut demo kalian hebat terimakasih sudah mewakili kami yang enggak bisa ikut turun kejalan,0.150
user8121661386814,sabarlah para saudaraku...suarakan aspirasimu dengan damai dan indah semiga akan menjadi berkah...,0.096
iflandivisoleh,"tiap tahunnya ada beberapa kali demo di indonesia ini, dan semuanya rusuh. kalau pemerintah tujuannya menyejahterakan rakyat gamukin terjadi demo2 seperti ini.",0.102
sulissetiawati2105,semoga kalian yang ikut demo hari ini selalu dalam lindungan allah,0.265
reenziee08,dpr di nya apa?,0.193
abahrafiha,nih bukan demo tawuran,0.236
faridah_collection4321,wowo enggak tahu karena enggak ada di tv,0.177
punkblankon,katanya gibran bisa menenangkan demo,0.160
cucunya_dukun,yang di demo dpr yang di adu domba malah rakyat sama polisi. dpr nya sibuk enggak ada yang berani nyamperin,0.404
sendiskay,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",0.417
ferguso527,andai saja aparat negara sadar siapa yang sudah membayar dan menggaji mereka. negara ini memang sudah fase kritis.,0.100
maulana942006,buat demo dijalan jangan sampai kita di adu domba sama polisi karena tujuan kita hanya ke dpr,0.156
penggunasekitar083,besok pakai rpg ya polisi enggak mempan di molotov sama petasan,0.107
malikk_fcm,pas demo itu kereta ada yang lewat enggak bang?,0.200
mui_sukagambar,lah doa ku terkapul kalo demo pakai petasan?,0.203
nunu147287,"judulnya masarakat protes sama dpr, tapi imbasnya seragam coklat para pejabat dpr ful senyum sambil di berjoget saja",0.122
putripati83,lindungi para pendemo ya allah,0.316
namikaze_252,"ini bukan demo lagi,,sudah ke arah perang sama aparat negara sendiri",0.175
lalurawahul,mau terima kasih sama yang sudah turun demo hari ini kalian keren semua,0.409
tubagus.hadi,"semangat kawan""semua terima kasih sudah mewakili rakyat",0.344
user7085956909207,"tanda"" awal akan terjadi krisis,kalo prabowo enggak segera bertindak membenahi ekonomi pasti semua daerah orang akan gampang untuk demo dan bersuara",0.093
rama_rfaa,"kalian sadar tidak? kode keras dari pak prabowo. 1 pak prabowo tidak melarang kalo kita mengibarkan bendera one piece 2 sengaja bikin berita gaji dpr naik untuk memancing amarah kita buat demo tapi kita belum bergerak sampai sekarang 3 dan menurutku itu sudah taktik yang pintar dari pak prabowo sebab dia paham tidak tidak berhak membubarkan dpr dan itu bukan ranah dia, yang berhak itu kita sebagai rakyat sebab sesuai dengan kepanjangannya dewan perwakilan rakyat jadi yang berhak melengserkan itu rakyat. gas kita bubarkan, prabowo belajar dari kisah pak gus dur yang ingin hapus dpr namun dia yang di lengserkan. (kalo mau ada perubahan kita harus peka)",0.413
limario03,"guys :demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",0.417
hidrogenco2,di bwa terowongan ada yang kena molotov bagaimana ceritanya woy,0.222
user1217579130161,di bawah perang diatas senang senang kenapakah dengan negara ini,0.141
tegar.saputra697,tag akun gerindra,0.283
unggulpandita,gerindra menghilang dari line,0.238
naniezahwa,enggak ada siaran langsung biasanya kalau ada demo,0.148
fauzan5112,nepal keren,0.300
kukukuda00,ya allah,0.408
user9965361444015,kami ikut mendoakan semoga para adik2 pendemo diberikan keselamatan,0.194
koira2626,"sediiiih lihatnya…. ekonomi ajur,,,,",0.242
wati.daily,ya allah lindungilah anak-anak kami,0.292
trisetyoplastik_,dpr diam saja ini sudah ricuh begini,0.233
suryabakso,maju terus kawan,0.250
brojhon948,harusnya di persilahkan masuk untuk menyampaikan aspirasinya duduk sama sama jangan di cegah,0.095
user2228172459961,memang harus berjuang untuk masa depan anak bangsa kita buk iklaskan apa yang terjadi ......mari kita yang tua-tua turut mendo'akan saja,0.131
abah.tiktok86,rakyat bersatu dan rakyat melawan,0.152
wildanwildan74467,"semoga sukses dan selamat kawan , semoga segera ada perubahan yang lebih baik",0.161
ahmadbulskii,video lama,0.317
lionitirta,"semoga yang demo selalu di berikan keselamatan semuah nya pembela rayat seindonesia semangat dan hati"" abang"" semuah",0.149
user9709702794620,srmoga rakyat bisa bersatu demi tegaknya keadilsn sosial bagi seluruh rakyat indonesia.,0.242
parmi.ami8,tangkap ketua dpr nya,0.216
nanangprasetyo288,hati-hati saudaraku ..,0.403
user3814356519861,lucunya negeri ini sudah sekacau ini pun masih saja dpr dipertahan kan.,0.171
dewi.sri823,ini vidio kapan sih tolong di info ...terima kasih,0.204
ning.choiriati,sdhlah polisi jangan halangi mahasiswa,0.151
sukma.w1915,nurunin gibran ya ikutan lha,0.159
handrir,tv nasional tidak menyiarkan demo di dpr ..besok jangan pilih partai yang punya tv nasional,0.166
phracaa,walaupun kita enggak jadi pejuang di jaman penjajah sekarang lah saatnya menjadi pejuang generasi muda,0.087
gegana.brus,polisi bantu penjabat rakyatnya di muauhi padahal yang bayar mereka rakyat .. ya allah,0.124
growxthiiz,"mohon maaf sebelumnya ......apa ini asli?......saya baru pertama kali mendonlod tiktok,,,,,,,,masyaallah ini anak sangat ajaib,,,,,kebesaran allah",0.107
muhni492,"pas ada demo harusnya polisi nanggap dangdut, pasti pendemo lupa, dan pada joget disitu",0.108
ovely95,"gue lagi kuliah di luar kota. adek gue lagi ikut demo juga di benhil bantu doa nya teman""",0.167
charles.pemburu,mari masyarakat indonesian turun kejalan untuk membantuk adik2 kita mahasiswa.untuk para lembaga2 masyarakat sudah cukup kita diam saja kesengsaraan rakyat ini,0.095
ommiskin2,semoga allah swt senantiasa menjaga para peserta demo dan seluruh warga yang berkegiatan di sekitar lokasi aksi agar terhindar dari segala mara bahaya,0.096
user12069577387,semoga yang demo jadi kuat.,0.169
dide11141715,mohon di'a nya.. kami tidak akan tinggal diam demi rakyat..,0.145
arrispurba_03,semangat buat abang² yang demo gue yang enggak bisa ikut respec,0.139
bambang5906,salut buat semua yang demo,0.235
danilelo03,prabowo bagaimana sih. segeralah penuhi permintaan rakyat,0.161
sensen242,kenapa pada demo di rel kereta sih,0.153
taurusmei424,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!!!!",0.417
ji.money,turun ketua dpr apa dpr bubar?,0.209
zaenab_0930,semoga buat yang ikut demo selalu dalam lindungan allah.,0.308
crietket,"jangan mudah terpecah belah oleh segelintir orang, dpr ri berada digarda terdepan untuk keadilan masyarakat indonesia",0.109
linabkt2,ini kapan punya?,0.355
gwen1799,ya allah kenapa harus semua jadi korban,0.165
waicon.con,semangat terus kepada para pendemontran,0.259
nouranoor019,ya allah kapan lginini kejadian nya,0.302
cantikadew8,tujuannya apa kelakuannya piye toh iki,0.116
suko.broeri,semangat kawan..,0.402
tims.silaban,terimkasih buat yang sudah turun ke jalan,0.291
rusli.tigor,semoga sodara ku selamat semuah .semoga ke selamatan di jaga semuah sama awlloh,0.147
nd22510,heran kok sudah terjadi 2 kali kericuhan kok presidenny enggak ada respon ambil tindakanny sama sekali sih...,0.134
urifahchasanah2,semoga pakai polisinya sadar bahwa masyarakat di negara ini sedang di adu dombai,0.114
user5118829233868,terus piye masih a angelkeributan masak begini mau di biarkan negara ini terus piye,0.219
brisadrie,tak ubahnya palestina dengan isreal,0.181
erman.rohman,demo apa lagi ini,0.199
sayyidburhan123gmail.com,kajadian kapan ini ya ???,0.407
sedang.mengetik0016,.. pasti naik lagi pangkat polisi,0.184
elfattah.official,kapan ini,0.406
junaidijunaidi859,matur suwon bolo seng nderek aken demo,0.208
naya.khansa7,hoaxs,0.000
yayaskiki2,tolong pak polisi sadarlah kalian...mending kalian menghindarlah....daripada banyak korban jiwa mending di marahi atasan ..indak papa..,0.111
alin34982,"jam berapa , saya tadi jam 10 kectn abang enggak ada kericuhan",0.136
wynsuwira286,kenapa bpk presiden????? ini dalam keadaan darurat..sampai kapan akan begini,0.136
kendiusang,kali ok lagi ke.. lama nye korang buat demo.. sikit2 sudah lah.. bang masa kerajaan kok perbaiki kelemahan..,0.107
2607ku,kapan ini,0.406
user9511573730959,presiden baru 10bulan sudah di demo rusuk juga pasti ada skenario kalau presiden lengser ada yang suka,0.110
mama_embun30,kalian hebat anak ku kau berjuang demi keadilan rakyat allah bersama kita semua amin,0.155
dapurvinata,berita kapan ini,0.287
abdul.salam.boys,kecewa dan sakit hati lihat kepemimpinan indonesia sejak soekarno sampai sekarang ribut mulu..bagaimana negara ini bisa maju kalau begini terus,0.107
ari.wijanarko6,ini masalahnya apa?,0.183
karini276,kapan ini,0.406
lia.kamila86,kapan ini..??,0.406
tiktok.osan,"enggak ada dpr indonesia enggak bakalan maju, ya allah, lindungilah dpr kami , mereka ini pahlawan bangsa, pejuang keadilan yang siang malam menangis demi rakyatnya . mereka rela mengorbankan tidur, makan, bahkan nyawanya hanya untuk kita semua . jika bukan karena mereka, kita tidak akan bisa bernafas hari ini . tolong, jaga mereka seperti engkau menjaga langit dan bumi",0.389
qta025,happy indonesia,0.346
sampun783,"luar biasa polisi,,,masih bertahan sabar. ,sesuatu aturan sudah pakai senpi,,,,",0.149
i.nyoman.sriana,"kalian semua keren,makin bersemangat,seluruh mahasiswa,menyala pendemo top",0.239
srihartati_360,enak jadi dpr yang demo demo diadu domba dia duduk manis boro boro nyamperin apa mengasih makanan minuman buat para demo padahal gara gara tunjangan naik oasiritqs diadakan jogetvjoget. tapi kalau sudah kayak begini kagak ada yang tanggung jawab harusnya ada yang peduli ini indonesia kagak malu sama negara lain,0.104
wiwit.wahyuni0,yaalloh semoga allah memberi perlindungan terhadap umatnya amin,0.178
guslevky,rakyat vs pulici dpr nya holiday keluar negeri.,0.174
eva.kurniaty.musl,tolong jangan mau diadu domba,0.271
orang.random947,saya juga ingin berterima kasih juga buat mereka seua yang turun untuk demo kalian semua keren dan semoga aman sehat terus jangan jadi korban kehilangan nyaws abistu hati-hati juga ya,0.130
anwar.anwar4122,enggak habis pikir yang kalian mau itu apasih,0.251
salsapuri4,"kami dari pco memperingatkan, komentar salah kaprah tidak akan kami biarkan",0.133
